example of how to read this (using the first line): 12.67% of +1/+1 counter tagged decks have the selesnya tag

~~~~~+1/+1 Counters~~~~~
    Five Color (WUBRG): 1.16%
    Aggression (WBRG): 0.88%
    Jeskai (URW): 0.82%
    Sultai (BGU): 0.82%
    Growth (WUBG): 0.75%
    Altruism (WURG): 0.71%
    Mono Green: 0.65%
    Jund (BRG): 0.58%
    Dimir (UB): 0.58%
    Grixis (UBR): 0.51%
    Simic (GU): 0.48%
    Gruul (RG): 0.44%
    Artifice (WUBR): 0.31%
    Mono Red: 0.27%
    Izzet (UR): 0.27%
    Chaos (UBRG): 0.24%
    Mono Blue: 0.24%
    Temur (GUR): 0.24%
~~~~~Farm~~~~~
    Mardu (RWB): 13.87%
    Esper (WUB): 9.6%
    Artifice (WUBR): 8.69%
    Jund (BRG): 7.01%
    Grixis (UBR): 6.4%
    Golgari (BG): 5.34%
    Orzhov (WB): 5.18%
    Rakdos (BR): 4.73%
    Dimir (UB): 4.42%
    Abzan (WBG): 4.42%
    Five Color (WUBRG): 3.81%
    Aggression (WBRG): 3.05%
    Growth (WUBG): 2.9%
    Chaos (UBRG): 2.9%
    Simic (GU): 2.74%
    Sultai (BGU): 2.74%
    Mono Black: 2.59%
    Mono Blue: 2.13%
    Izzet (UR): 2.13%
    Temur (GUR): 2.13%
    Gruul (RG): 2.13%
    Mono Red: 1.98%
    Mono Green: 1.83%
    Bant (GWU): 1.68%
    Selesnya (GW): 1.68%
    Azorius (WU) : 1.52%
    Mono White: 1.37%
    Naya (RGW): 1.22%
    Altruism (WURG): 0.91%
    Boros (RW): 0.91%
    Jeskai (URW): 0.91%
~~~~~Goodstuff~~~~~
    Five Color (WUBRG): 15.73%
    Simic (GU): 6.22%
    Sultai (BGU): 5.7%
    Mono Black: 4.49%
    Temur (GUR): 4.32%
    Esper (WUB): 4.24%
    Grixis (UBR): 4.11%
    Jund (BRG): 3.93%
    Dimir (UB): 3.8%
    Golgari (BG): 3.76%
    Mono Green: 3.54%
    Mardu (RWB): 3.5%
    Naya (RGW): 3.46%
    Selesnya (GW): 3.2%
    Rakdos (BR): 3.03%
    Gruul (RG): 2.98%
    Abzan (WBG): 2.81%
    Mono Blue: 2.42%
    Izzet (UR): 2.42%
    Orzhov (WB): 2.42%
    Bant (GWU): 2.38%
    Mono White: 2.33%
    Boros (RW): 2.2%
    Growth (WUBG): 1.94%
    Azorius (WU) : 1.82%
    Artifice (WUBR): 1.56%
    Mono Red: 1.56%
    Jeskai (URW): 1.38%
    Chaos (UBRG): 1.25%
    Altruism (WURG): 0.95%
    Aggression (WBRG): 0.86%
~~~~~Stax~~~~~
    Azorius (WU) : 9.27%
    Mono White: 7.97%
    Esper (WUB): 7.24%
    Boros (RW): 6.51%
    Selesnya (GW): 5.49%
    Orzhov (WB): 5.3%
    Naya (RGW): 4.16%
    Bant (GWU): 4.16%
    Abzan (WBG): 4.13%
    Mono Blue: 3.74%
    Five Color (WUBRG): 3.65%
    Mardu (RWB): 3.11%
    Mono Red: 3.01%
    Gruul (RG): 2.98%
    Mono Black: 2.73%
    Golgari (BG): 2.67%
    Sultai (BGU): 1.97%
    Aggression (WBRG): 1.71%
    Jeskai (URW): 1.62%
    Rakdos (BR): 1.46%
    Mono Green: 1.43%
    Dimir (UB): 1.33%
    Jund (BRG): 1.08%
    Grixis (UBR): 1.02%
    Izzet (UR): 0.98%
    Simic (GU): 0.79%
    Growth (WUBG): 0.73%
    Artifice (WUBR): 0.67%
    Altruism (WURG): 0.41%
    Temur (GUR): 0.29%
    Chaos (UBRG): 0.19%
~~~~~Spellslinger~~~~~
    Izzet (UR): 23.56%
    Grixis (UBR): 11.56%
    Jeskai (URW): 9.88%
    Mono Blue: 7.9%
    Temur (GUR): 5.39%
    Boros (RW): 5.03%
    Mono Red: 4.66%
    Azorius (WU) : 3.27%
    Rakdos (BR): 3.13%
    Five Color (WUBRG): 2.74%
    Gruul (RG): 2.46%
    Dimir (UB): 2.29%
    Simic (GU): 2.23%
    Mono Black: 2.09%
    Chaos (UBRG): 1.54%
    Mardu (RWB): 1.26%
    Esper (WUB): 0.81%
    Bant (GWU): 0.81%
    Sultai (BGU): 0.75%
    Artifice (WUBR): 0.56%
    Mono Green: 0.53%
    Golgari (BG): 0.5%
    Altruism (WURG): 0.47%
    Orzhov (WB): 0.47%
    Jund (BRG): 0.45%
    Naya (RGW): 0.39%
    Mono White: 0.31%
    Selesnya (GW): 0.25%
    Growth (WUBG): 0.22%
    Aggression (WBRG): 0.14%
    Abzan (WBG): 0.14%
~~~~~Storm~~~~~
    Izzet (UR): 20.15%
    Grixis (UBR): 8.08%
    Mono Red: 7.59%
    Jeskai (URW): 7.36%
    Mono Green: 4.93%
    Rakdos (BR): 4.74%
    Mono Black: 4.63%
    Mono Blue: 4.17%
    Temur (GUR): 3.87%
    Five Color (WUBRG): 3.57%
    Simic (GU): 2.43%
    Gruul (RG): 2.43%
    Jund (BRG): 2.31%
    Chaos (UBRG): 2.24%
    Selesnya (GW): 1.67%
    Mardu (RWB): 1.63%
    Boros (RW): 1.37%
    Artifice (WUBR): 1.37%
    Golgari (BG): 1.33%
    Bant (GWU): 1.14%
    Dimir (UB): 1.06%
    Azorius (WU) : 1.02%
    Esper (WUB): 1.02%
    Orzhov (WB): 0.91%
    Altruism (WURG): 0.72%
    Sultai (BGU): 0.72%
    Mono White: 0.68%
    Naya (RGW): 0.49%
    Aggression (WBRG): 0.38%
    Abzan (WBG): 0.38%
    Growth (WUBG): 0.23%
~~~~~Lands Matter~~~~~
    Simic (GU): 12.7%
    Gruul (RG): 9.84%
    Mono Green: 9.29%
    Jund (BRG): 9.08%
    Sultai (BGU): 7.77%
    Altruism (WURG): 6.56%
    Naya (RGW): 6.32%
    Five Color (WUBRG): 5.59%
    Golgari (BG): 5.04%
    Temur (GUR): 4.8%
    Selesnya (GW): 3.18%
    Azorius (WU) : 1.76%
    Bant (GWU): 1.55%
    Mono Blue: 1.24%
    Mono Black: 1.07%
    Mono Red: 1.04%
    Esper (WUB): 0.97%
    Abzan (WBG): 0.83%
    Aggression (WBRG): 0.72%
    Chaos (UBRG): 0.62%
    Izzet (UR): 0.52%
    Dimir (UB): 0.48%
    Rakdos (BR): 0.48%
    Growth (WUBG): 0.45%
    Boros (RW): 0.45%
    Orzhov (WB): 0.41%
    Mono White: 0.38%
    Jeskai (URW): 0.35%
    Grixis (UBR): 0.35%
    Mardu (RWB): 0.28%
    Artifice (WUBR): 0.24%
~~~~~Discard~~~~~
    Mono Black: 20.56%
    Rakdos (BR): 17.99%
    Esper (WUB): 9.36%
    Grixis (UBR): 8.86%
    Dimir (UB): 8.47%
    Golgari (BG): 4.74%
    Mono Red: 4.29%
    Izzet (UR): 3.68%
    Jeskai (URW): 3.18%
    Jund (BRG): 2.28%
    Sultai (BGU): 1.95%
    Boros (RW): 1.89%
    Azorius (WU) : 1.5%
    Mardu (RWB): 1.5%
    Orzhov (WB): 1.39%
    Mono Blue: 1.34%
    Gruul (RG): 1.28%
    Five Color (WUBRG): 1.23%
    Chaos (UBRG): 0.84%
    Abzan (WBG): 0.78%
    Artifice (WUBR): 0.61%
    Simic (GU): 0.56%
    Temur (GUR): 0.56%
    Growth (WUBG): 0.45%
    Naya (RGW): 0.45%
    Mono Green: 0.39%
    Aggression (WBRG): 0.33%
    Altruism (WURG): 0.33%
    Mono White: 0.33%
    Selesnya (GW): 0.28%
    Bant (GWU): 0.22%
~~~~~Wheels~~~~~
    Grixis (UBR): 24.31%
    Izzet (UR): 15.6%
    Temur (GUR): 8.97%
    Jeskai (URW): 7.5%
    Mono Red: 6.55%
    Esper (WUB): 5.0%
    Rakdos (BR): 3.97%
    Mono Blue: 3.28%
    Chaos (UBRG): 3.02%
    Artifice (WUBR): 2.76%
    Five Color (WUBRG): 2.41%
    Azorius (WU) : 1.9%
    Dimir (UB): 1.81%
    Boros (RW): 1.64%
    Mono Black: 1.38%
    Mardu (RWB): 1.29%
    Simic (GU): 1.03%
    Jund (BRG): 0.95%
    Sultai (BGU): 0.86%
    Altruism (WURG): 0.78%
    Gruul (RG): 0.69%
    Golgari (BG): 0.52%
    Orzhov (WB): 0.52%
    Growth (WUBG): 0.43%
    Naya (RGW): 0.43%
    Aggression (WBRG): 0.34%
    Mono Green: 0.34%
    Mono White: 0.34%
    Abzan (WBG): 0.34%
    Bant (GWU): 0.34%
    Selesnya (GW): 0.34%
~~~~~Group Hug~~~~~
    Altruism (WURG): 10.66%
    Azorius (WU) : 9.07%
    Bant (GWU): 8.09%
    Five Color (WUBRG): 7.6%
    Mono Blue: 6.74%
    Jund (BRG): 6.0%
    Jeskai (URW): 5.39%
    Temur (GUR): 5.27%
    Selesnya (GW): 4.78%
    Mono Black: 4.17%
    Grixis (UBR): 4.04%
    Orzhov (WB): 3.8%
    Esper (WUB): 2.94%
    Simic (GU): 2.7%
    Naya (RGW): 2.33%
    Mardu (RWB): 2.21%
    Rakdos (BR): 1.84%
    Dimir (UB): 1.72%
    Mono Red: 1.72%
    Izzet (UR): 1.47%
    Golgari (BG): 1.47%
    Mono White: 1.35%
    Gruul (RG): 1.35%
    Mono Green: 1.1%
    Boros (RW): 0.98%
    Growth (WUBG): 0.86%
    Chaos (UBRG): 0.86%
    Sultai (BGU): 0.86%
    Artifice (WUBR): 0.74%
    Aggression (WBRG): 0.61%
    Abzan (WBG): 0.61%
~~~~~Pillowfort~~~~~
    Bant (GWU): 12.0%
    Esper (WUB): 11.25%
    Azorius (WU) : 10.93%
    Mardu (RWB): 10.72%
    Orzhov (WB): 7.96%
    Five Color (WUBRG): 7.75%
    Selesnya (GW): 6.69%
    Mono White: 5.94%
    Jeskai (URW): 5.63%
    Altruism (WURG): 3.18%
    Mono Blue: 2.12%
    Abzan (WBG): 2.12%
    Rakdos (BR): 2.02%
    Naya (RGW): 2.02%
    Dimir (UB): 1.91%
    Grixis (UBR): 1.7%
    Boros (RW): 1.59%
    Simic (GU): 1.59%
    Jund (BRG): 1.27%
    Mono Red: 1.06%
    Golgari (BG): 1.06%
    Sultai (BGU): 1.06%
    Mono Green: 0.96%
    Growth (WUBG): 0.96%
    Mono Black: 0.96%
    Gruul (RG): 0.96%
    Izzet (UR): 0.74%
    Aggression (WBRG): 0.64%
    Chaos (UBRG): 0.64%
    Artifice (WUBR): 0.53%
    Temur (GUR): 0.42%
~~~~~Super Friends~~~~~
    Five Color (WUBRG): 16.23%
    Growth (WUBG): 12.6%
    Golgari (BG): 8.74%
    Grixis (UBR): 6.47%
    Esper (WUB): 4.65%
    Jeskai (URW): 4.43%
    Azorius (WU) : 3.52%
    Mono Green: 3.41%
    Mono Red: 3.41%
    Bant (GWU): 3.06%
    Mono White: 2.72%
    Boros (RW): 2.5%
    Abzan (WBG): 2.5%
    Mono Black: 2.27%
    Simic (GU): 2.27%
    Jund (BRG): 2.04%
    Izzet (UR): 2.04%
    Mardu (RWB): 1.93%
    Sultai (BGU): 1.93%
    Dimir (UB): 1.36%
    Mono Blue: 1.36%
    Orzhov (WB): 1.36%
    Selesnya (GW): 1.36%
    Artifice (WUBR): 1.02%
    Temur (GUR): 1.02%
    Rakdos (BR): 0.91%
    Naya (RGW): 0.91%
    Gruul (RG): 0.79%
    Aggression (WBRG): 0.68%
    Altruism (WURG): 0.68%
    Chaos (UBRG): 0.57%
~~~~~Hatebears~~~~~
    Mono White: 11.26%
    Selesnya (GW): 9.16%
    Abzan (WBG): 9.08%
    Orzhov (WB): 8.72%
    Boros (RW): 7.78%
    Naya (RGW): 7.12%
    Esper (WUB): 6.76%
    Bant (GWU): 5.31%
    Azorius (WU) : 5.16%
    Mardu (RWB): 4.72%
    Five Color (WUBRG): 3.56%
    Aggression (WBRG): 2.33%
    Gruul (RG): 2.18%
    Growth (WUBG): 1.82%
    Jeskai (URW): 1.82%
    Mono Green: 1.6%
    Golgari (BG): 1.6%
    Mono Black: 1.45%
    Jund (BRG): 1.38%
    Artifice (WUBR): 1.38%
    Rakdos (BR): 1.38%
    Dimir (UB): 1.16%
    Mono Red: 1.09%
    Grixis (UBR): 0.94%
    Mono Blue: 0.87%
    Simic (GU): 0.8%
    Sultai (BGU): 0.73%
    Izzet (UR): 0.58%
    Altruism (WURG): 0.51%
    Chaos (UBRG): 0.51%
    Temur (GUR): 0.51%
~~~~~Battlecruiser~~~~~
    Five Color (WUBRG): 10.07%
    Gruul (RG): 7.44%
    Naya (RGW): 6.61%
    Simic (GU): 6.23%
    Mono Green: 6.08%
    Temur (GUR): 4.91%
    Selesnya (GW): 3.84%
    Jund (BRG): 3.55%
    Sultai (BGU): 3.5%
    Mardu (RWB): 3.31%
    Golgari (BG): 3.31%
    Mono Red: 3.26%
    Mono White: 3.26%
    Rakdos (BR): 3.16%
    Azorius (WU) : 3.02%
    Boros (RW): 2.97%
    Bant (GWU): 2.92%
    Dimir (UB): 2.77%
    Mono Blue: 2.72%
    Grixis (UBR): 2.68%
    Mono Black: 2.53%
    Esper (WUB): 2.38%
    Izzet (UR): 2.14%
    Abzan (WBG): 2.14%
    Orzhov (WB): 2.09%
    Jeskai (URW): 1.22%
    Growth (WUBG): 0.97%
    Altruism (WURG): 0.83%
    Chaos (UBRG): 0.78%
    Artifice (WUBR): 0.68%
    Aggression (WBRG): 0.58%
~~~~~Birthing Pod / Pod~~~~~
    Naya (RGW): 14.09%
    Sultai (BGU): 9.67%
    Golgari (BG): 9.25%
    Abzan (WBG): 8.15%
    Aggression (WBRG): 6.35%
    Temur (GUR): 5.94%
    Bant (GWU): 5.39%
    Simic (GU): 5.25%
    Jund (BRG): 4.97%
    Five Color (WUBRG): 4.83%
    Mono White: 4.56%
    Gruul (RG): 3.18%
    Altruism (WURG): 2.62%
    Mono Green: 2.49%
    Selesnya (GW): 2.35%
    Growth (WUBG): 1.66%
    Chaos (UBRG): 1.52%
    Izzet (UR): 1.1%
    Azorius (WU) : 0.97%
    Boros (RW): 0.97%
    Orzhov (WB): 0.97%
    Dimir (UB): 0.83%
    Mono Blue: 0.83%
    Mardu (RWB): 0.83%
    Rakdos (BR): 0.83%
    Jeskai (URW): 0.83%
    Esper (WUB): 0.83%
    Grixis (UBR): 0.83%
    Mono Black: 0.55%
    Artifice (WUBR): 0.55%
    Mono Red: 0.55%
~~~~~Mutate~~~~~
    Sultai (BGU): 27.21%
    Five Color (WUBRG): 15.71%
    Simic (GU): 13.27%
    Abzan (WBG): 8.41%
    Temur (GUR): 7.74%
    Jeskai (URW): 6.19%
    Mardu (RWB): 4.87%
    Golgari (BG): 3.32%
    Altruism (WURG): 2.21%
    Mono Green: 1.55%
    Izzet (UR): 1.55%
    Dimir (UB): 1.33%
    Growth (WUBG): 1.33%
    Chaos (UBRG): 1.33%
    Esper (WUB): 1.33%
    Aggression (WBRG): 1.11%
    Mono Blue: 1.11%
    Rakdos (BR): 1.11%
    Orzhov (WB): 1.11%
    Naya (RGW): 1.11%
    Selesnya (GW): 1.11%
    Jund (BRG): 0.88%
    Mono Black: 0.88%
    Azorius (WU) : 0.88%
    Boros (RW): 0.88%
    Artifice (WUBR): 0.88%
    Grixis (UBR): 0.88%
    Mono White: 0.88%
    Gruul (RG): 0.88%
    Bant (GWU): 0.88%
    Mono Red: 0.66%
~~~~~Suicide~~~~~
    Mono Black: 32.31%
    Rakdos (BR): 15.32%
    Golgari (BG): 7.94%
    Orzhov (WB): 7.66%
    Mono Red: 5.71%
    Grixis (UBR): 3.9%
    Jund (BRG): 3.76%
    Dimir (UB): 3.34%
    Mardu (RWB): 3.34%
    Esper (WUB): 3.34%
    Five Color (WUBRG): 2.65%
    Sultai (BGU): 2.51%
    Abzan (WBG): 1.95%
    Boros (RW): 1.67%
    Izzet (UR): 1.67%
    Mono White: 1.53%
    Gruul (RG): 1.53%
    Aggression (WBRG): 1.25%
    Mono Green: 1.25%
    Bant (GWU): 1.25%
    Mono Blue: 1.11%
    Artifice (WUBR): 1.11%
    Jeskai (URW): 1.11%
    Simic (GU): 1.11%
    Growth (WUBG): 0.97%
    Naya (RGW): 0.97%
    Altruism (WURG): 0.84%
    Chaos (UBRG): 0.84%
    Azorius (WU) : 0.84%
    Temur (GUR): 0.7%
    Selesnya (GW): 0.7%
~~~~~Aikido~~~~~
    Mardu (RWB): 40.3%
    Dimir (UB): 7.46%
    Esper (WUB): 7.46%
    Naya (RGW): 6.97%
    Grixis (UBR): 5.97%
    Orzhov (WB): 5.97%
    Jeskai (URW): 5.47%
    Boros (RW): 4.98%
    Five Color (WUBRG): 4.98%
    Altruism (WURG): 4.48%
    Izzet (UR): 4.48%
    Rakdos (BR): 4.48%
    Jund (BRG): 3.48%
    Mono Red: 3.48%
    Azorius (WU) : 2.99%
    Mono Blue: 2.99%
    Simic (GU): 2.99%
    Temur (GUR): 2.99%
    Abzan (WBG): 2.99%
    Aggression (WBRG): 2.49%
    Mono Green: 2.49%
    Growth (WUBG): 2.49%
    Mono Black: 2.49%
    Artifice (WUBR): 2.49%
    Mono White: 2.49%
    Selesnya (GW): 2.49%
    Sultai (BGU): 2.49%
    Chaos (UBRG): 1.99%
    Golgari (BG): 1.99%
    Gruul (RG): 1.99%
    Bant (GWU): 1.99%
~~~~~Morph~~~~~
    Sultai (BGU): 51.36%
    Temur (GUR): 15.91%
    Mono Green: 9.55%
    Azorius (WU) : 4.09%
    Mono Blue: 4.09%
    Simic (GU): 4.09%
    Izzet (UR): 3.64%
    Jeskai (URW): 3.64%
    Esper (WUB): 3.64%
    Jund (BRG): 2.73%
    Dimir (UB): 2.73%
    Artifice (WUBR): 2.73%
    Five Color (WUBRG): 2.73%
    Grixis (UBR): 2.73%
    Abzan (WBG): 2.73%
    Naya (RGW): 2.73%
    Bant (GWU): 2.73%
    Selesnya (GW): 2.73%
    Aggression (WBRG): 2.27%
    Altruism (WURG): 2.27%
    Growth (WUBG): 2.27%
    Chaos (UBRG): 2.27%
    Boros (RW): 2.27%
    Mono Red: 2.27%
    Rakdos (BR): 2.27%
    Golgari (BG): 2.27%
    Orzhov (WB): 2.27%
    Gruul (RG): 2.27%
    Mono Black: 1.82%
    Mardu (RWB): 1.82%
    Mono White: 1.82%
~~~~~Clones~~~~~
    Simic (GU): 17.92%
    Temur (GUR): 12.26%
    Mono Blue: 11.47%
    Dimir (UB): 10.11%
    Grixis (UBR): 7.6%
    Izzet (UR): 6.09%
    Mono Red: 5.23%
    Sultai (BGU): 3.73%
    Esper (WUB): 3.3%
    Five Color (WUBRG): 2.65%
    Azorius (WU) : 2.58%
    Boros (RW): 1.36%
    Jeskai (URW): 1.15%
    Altruism (WURG): 1.08%
    Chaos (UBRG): 1.0%
    Naya (RGW): 1.0%
    Abzan (WBG): 0.86%
    Bant (GWU): 0.79%
    Growth (WUBG): 0.72%
    Jund (BRG): 0.65%
    Rakdos (BR): 0.65%
    Orzhov (WB): 0.65%
    Aggression (WBRG): 0.57%
    Artifice (WUBR): 0.57%
    Mardu (RWB): 0.57%
    Selesnya (GW): 0.57%
    Golgari (BG): 0.43%
    Gruul (RG): 0.36%
    Mono Green: 0.29%
    Mono Black: 0.29%
    Mono White: 0.22%
~~~~~Vorthos~~~~~
    Five Color (WUBRG): 11.07%
    Dimir (UB): 7.11%
    Grixis (UBR): 7.11%
    Orzhov (WB): 6.72%
    Mono Black: 6.32%
    Azorius (WU) : 5.53%
    Boros (RW): 5.14%
    Simic (GU): 5.14%
    Abzan (WBG): 5.14%
    Naya (RGW): 5.14%
    Mardu (RWB): 4.74%
    Rakdos (BR): 4.74%
    Izzet (UR): 4.35%
    Golgari (BG): 4.35%
    Gruul (RG): 3.95%
    Selesnya (GW): 3.95%
    Mono Green: 3.56%
    Esper (WUB): 3.56%
    Temur (GUR): 3.56%
    Sultai (BGU): 3.56%
    Mono White: 3.16%
    Jund (BRG): 2.77%
    Growth (WUBG): 2.77%
    Mono Red: 2.77%
    Bant (GWU): 2.77%
    Altruism (WURG): 1.98%
    Mono Blue: 1.98%
    Jeskai (URW): 1.98%
    Chaos (UBRG): 1.58%
    Artifice (WUBR): 1.58%
    Aggression (WBRG): 1.19%
~~~~~Mill~~~~~
    Dimir (UB): 35.51%
    Sultai (BGU): 9.28%
    Mono Blue: 8.76%
    Simic (GU): 5.62%
    Golgari (BG): 5.4%
    Mono Black: 4.53%
    Grixis (UBR): 4.44%
    Abzan (WBG): 3.22%
    Esper (WUB): 2.7%
    Azorius (WU) : 2.48%
    Five Color (WUBRG): 1.44%
    Izzet (UR): 1.39%
    Jund (BRG): 0.96%
    Bant (GWU): 0.96%
    Mono Green: 0.83%
    Rakdos (BR): 0.83%
    Jeskai (URW): 0.83%
    Orzhov (WB): 0.83%
    Mono White: 0.74%
    Mono Red: 0.7%
    Temur (GUR): 0.7%
    Boros (RW): 0.61%
    Altruism (WURG): 0.57%
    Mardu (RWB): 0.57%
    Selesnya (GW): 0.57%
    Chaos (UBRG): 0.52%
    Growth (WUBG): 0.48%
    Aggression (WBRG): 0.35%
    Artifice (WUBR): 0.35%
    Naya (RGW): 0.26%
    Gruul (RG): 0.26%
~~~~~Rock~~~~~
    Golgari (BG): 16.35%
    Boros (RW): 9.51%
    Gruul (RG): 7.98%
    Rakdos (BR): 7.22%
    Izzet (UR): 6.84%
    Dimir (UB): 6.46%
    Mono Red: 6.46%
    Temur (GUR): 6.46%
    Esper (WUB): 6.08%
    Abzan (WBG): 5.7%
    Mono Blue: 5.32%
    Jund (BRG): 4.94%
    Azorius (WU) : 4.56%
    Orzhov (WB): 4.18%
    Mono Green: 3.8%
    Mono Black: 3.8%
    Mardu (RWB): 3.42%
    Five Color (WUBRG): 3.42%
    Simic (GU): 3.42%
    Selesnya (GW): 3.42%
    Sultai (BGU): 3.42%
    Growth (WUBG): 3.04%
    Artifice (WUBR): 3.04%
    Jeskai (URW): 3.04%
    Grixis (UBR): 3.04%
    Mono White: 3.04%
    Altruism (WURG): 2.66%
    Chaos (UBRG): 2.66%
    Naya (RGW): 2.66%
    Bant (GWU): 2.28%
    Aggression (WBRG): 1.52%
~~~~~Affinity~~~~~
    Esper (WUB): 13.3%
    Izzet (UR): 13.02%
    Mono Blue: 12.19%
    Azorius (WU) : 11.08%
    Artifice (WUBR): 10.8%
    Boros (RW): 8.31%
    Dimir (UB): 4.99%
    Mono White: 4.99%
    Simic (GU): 4.16%
    Mono Black: 3.05%
    Mono Red: 3.05%
    Gruul (RG): 3.05%
    Rakdos (BR): 2.77%
    Grixis (UBR): 2.77%
    Mardu (RWB): 2.49%
    Five Color (WUBRG): 2.49%
    Jeskai (URW): 2.49%
    Golgari (BG): 1.94%
    Aggression (WBRG): 1.66%
    Altruism (WURG): 1.66%
    Temur (GUR): 1.66%
    Jund (BRG): 1.39%
    Growth (WUBG): 1.39%
    Orzhov (WB): 1.39%
    Naya (RGW): 1.39%
    Selesnya (GW): 1.39%
    Sultai (BGU): 1.39%
    Mono Green: 1.11%
    Chaos (UBRG): 1.11%
    Abzan (WBG): 1.11%
    Bant (GWU): 1.11%
~~~~~Blue Moon~~~~~
    Izzet (UR): 49.25%
    Mono Blue: 23.88%
    Jeskai (URW): 14.93%
    Five Color (WUBRG): 11.94%
    Altruism (WURG): 8.96%
    Esper (WUB): 8.96%
    Grixis (UBR): 8.96%
    Azorius (WU) : 7.46%
    Temur (GUR): 7.46%
    Aggression (WBRG): 5.97%
    Jund (BRG): 5.97%
    Dimir (UB): 5.97%
    Mono Green: 5.97%
    Growth (WUBG): 5.97%
    Mono Black: 5.97%
    Chaos (UBRG): 5.97%
    Boros (RW): 5.97%
    Artifice (WUBR): 5.97%
    Mardu (RWB): 5.97%
    Rakdos (BR): 5.97%
    Simic (GU): 5.97%
    Golgari (BG): 5.97%
    Orzhov (WB): 5.97%
    Mono White: 5.97%
    Abzan (WBG): 5.97%
    Naya (RGW): 5.97%
    Gruul (RG): 5.97%
    Bant (GWU): 5.97%
    Selesnya (GW): 5.97%
    Sultai (BGU): 5.97%
    Mono Red: 4.48%
~~~~~Chaos~~~~~
    Rakdos (BR): 15.93%
    Izzet (UR): 14.87%
    Mono Red: 10.55%
    Grixis (UBR): 7.59%
    Temur (GUR): 7.07%
    Five Color (WUBRG): 6.75%
    Jund (BRG): 4.54%
    Jeskai (URW): 4.32%
    Gruul (RG): 3.8%
    Mardu (RWB): 2.64%
    Chaos (UBRG): 2.53%
    Mono Black: 2.43%
    Naya (RGW): 2.0%
    Azorius (WU) : 1.9%
    Mono Blue: 1.79%
    Dimir (UB): 1.58%
    Esper (WUB): 1.48%
    Altruism (WURG): 1.27%
    Boros (RW): 1.27%
    Golgari (BG): 1.27%
    Aggression (WBRG): 0.95%
    Simic (GU): 0.95%
    Bant (GWU): 0.95%
    Sultai (BGU): 0.95%
    Artifice (WUBR): 0.84%
    Growth (WUBG): 0.74%
    Orzhov (WB): 0.74%
    Selesnya (GW): 0.74%
    Mono Green: 0.63%
    Abzan (WBG): 0.63%
    Mono White: 0.53%
~~~~~Cycling~~~~~
    Jeskai (URW): 27.03%
    Esper (WUB): 18.65%
    Rakdos (BR): 8.38%
    Five Color (WUBRG): 7.03%
    Dimir (UB): 6.76%
    Jund (BRG): 3.78%
    Mono Black: 3.78%
    Grixis (UBR): 3.78%
    Boros (RW): 3.51%
    Izzet (UR): 3.51%
    Simic (GU): 3.51%
    Mono Green: 2.97%
    Mono Blue: 2.97%
    Mono Red: 2.97%
    Altruism (WURG): 2.7%
    Sultai (BGU): 2.7%
    Golgari (BG): 2.43%
    Orzhov (WB): 2.43%
    Naya (RGW): 2.43%
    Gruul (RG): 2.43%
    Growth (WUBG): 2.16%
    Azorius (WU) : 2.16%
    Mardu (RWB): 2.16%
    Mono White: 2.16%
    Selesnya (GW): 1.89%
    Chaos (UBRG): 1.62%
    Artifice (WUBR): 1.62%
    Temur (GUR): 1.62%
    Abzan (WBG): 1.62%
    Aggression (WBRG): 1.35%
    Bant (GWU): 1.08%
~~~~~Death & Taxes~~~~~
    Orzhov (WB): 28.26%
    Esper (WUB): 9.86%
    Mono White: 8.99%
    Mardu (RWB): 7.83%
    Mono Black: 6.81%
    Abzan (WBG): 6.52%
    Golgari (BG): 4.93%
    Azorius (WU) : 4.64%
    Selesnya (GW): 3.91%
    Boros (RW): 3.62%
    Rakdos (BR): 3.48%
    Dimir (UB): 3.19%
    Five Color (WUBRG): 3.04%
    Grixis (UBR): 2.32%
    Bant (GWU): 2.03%
    Jund (BRG): 1.88%
    Naya (RGW): 1.88%
    Jeskai (URW): 1.74%
    Sultai (BGU): 1.74%
    Growth (WUBG): 1.45%
    Aggression (WBRG): 1.3%
    Mono Red: 1.3%
    Altruism (WURG): 1.16%
    Artifice (WUBR): 1.16%
    Gruul (RG): 1.16%
    Mono Green: 1.01%
    Mono Blue: 1.01%
    Chaos (UBRG): 0.87%
    Izzet (UR): 0.87%
    Simic (GU): 0.87%
    Temur (GUR): 0.72%
~~~~~Defender~~~~~
    Bant (GWU): 60.66%
    Abzan (WBG): 8.82%
    Dimir (UB): 5.15%
    Jeskai (URW): 4.78%
    Mono Blue: 4.04%
    Selesnya (GW): 3.31%
    Azorius (WU) : 2.57%
    Boros (RW): 2.21%
    Five Color (WUBRG): 2.21%
    Mono White: 2.21%
    Altruism (WURG): 1.84%
    Esper (WUB): 1.84%
    Simic (GU): 1.84%
    Naya (RGW): 1.84%
    Mono Green: 1.47%
    Growth (WUBG): 1.47%
    Mono Black: 1.47%
    Chaos (UBRG): 1.47%
    Izzet (UR): 1.47%
    Grixis (UBR): 1.47%
    Golgari (BG): 1.47%
    Orzhov (WB): 1.47%
    Sultai (BGU): 1.47%
    Aggression (WBRG): 1.1%
    Jund (BRG): 1.1%
    Artifice (WUBR): 1.1%
    Mono Red: 1.1%
    Mardu (RWB): 1.1%
    Rakdos (BR): 1.1%
