~~~~~+1/+1 Counters~~~~~
    Jund (BRG): 41
    Sultai (BGU): 35
    Boros (RW): 34
    Azorius (WU) : 27
    Mardu (RWB): 27
    Orzhov (WB): 25
    Mono Blue: 24
    Gruul (RG): 23
    Five Color (WUBRG): 22
    Chaos (UBRG): 15
    Abzan (WBG): 14
    Artifice (WUBR): 11
    Simic (GU): 10
    Temur (GUR): 10
    Growth (WUBG): 8
    Naya (RGW): 8
    Mono Green: 7
    Aggression (WBRG): 6
    Altruism (WURG): 6
    Mono White: 6
    Selesnya (GW): 5
    Bant (GWU): 4
~~~~~Wheels~~~~~
    Grixis (UBR): 282
    Izzet (UR): 181
    Temur (GUR): 104
    Jeskai (URW): 87
    Mono Red: 76
    Esper (WUB): 58
    Rakdos (BR): 46
    Mono Blue: 38
    Chaos (UBRG): 35
    Artifice (WUBR): 32
    Five Color (WUBRG): 28
    Azorius (WU) : 22
    Dimir (UB): 21
    Boros (RW): 19
    Mono Black: 16
    Mardu (RWB): 15
    Simic (GU): 12
    Jund (BRG): 11
    Sultai (BGU): 10
    Altruism (WURG): 9
    Gruul (RG): 8
    Golgari (BG): 6
    Orzhov (WB): 6
    Growth (WUBG): 5
    Naya (RGW): 5
    Aggression (WBRG): 4
    Mono Green: 4
    Mono White: 4
    Abzan (WBG): 4
    Bant (GWU): 4
    Selesnya (GW): 4
~~~~~Group Hug~~~~~
    Altruism (WURG): 87
    Azorius (WU) : 74
    Bant (GWU): 66
    Five Color (WUBRG): 62
    Mono Blue: 55
    Jund (BRG): 49
    Jeskai (URW): 44
    Temur (GUR): 43
    Selesnya (GW): 39
    Mono Black: 34
    Grixis (UBR): 33
    Orzhov (WB): 31
    Esper (WUB): 24
    Simic (GU): 22
    Naya (RGW): 19
    Mardu (RWB): 18
    Rakdos (BR): 15
    Dimir (UB): 14
    Mono Red: 14
    Izzet (UR): 12
    Golgari (BG): 12
    Mono White: 11
    Gruul (RG): 11
    Mono Green: 9
    Boros (RW): 8
    Growth (WUBG): 7
    Chaos (UBRG): 7
    Sultai (BGU): 7
    Artifice (WUBR): 6
    Aggression (WBRG): 5
    Abzan (WBG): 5
~~~~~Pillowfort~~~~~
    Bant (GWU): 113
    Esper (WUB): 106
    Azorius (WU) : 103
    Mardu (RWB): 101
    Orzhov (WB): 75
    Five Color (WUBRG): 73
    Selesnya (GW): 63
    Mono White: 56
    Jeskai (URW): 53
    Altruism (WURG): 30
    Mono Blue: 20
    Abzan (WBG): 20
    Rakdos (BR): 19
    Naya (RGW): 19
    Dimir (UB): 18
    Grixis (UBR): 16
    Boros (RW): 15
    Simic (GU): 15
    Jund (BRG): 12
    Mono Red: 10
    Golgari (BG): 10
    Sultai (BGU): 10
    Mono Green: 9
    Growth (WUBG): 9
    Mono Black: 9
    Gruul (RG): 9
    Izzet (UR): 7
    Aggression (WBRG): 6
    Chaos (UBRG): 6
    Artifice (WUBR): 5
    Temur (GUR): 4
~~~~~Super Friends~~~~~
    Five Color (WUBRG): 143
    Growth (WUBG): 111
    Golgari (BG): 77
    Grixis (UBR): 57
    Esper (WUB): 41
    Jeskai (URW): 39
    Azorius (WU) : 31
    Mono Green: 30
    Mono Red: 30
    Bant (GWU): 27
    Mono White: 24
    Boros (RW): 22
    Abzan (WBG): 22
    Mono Black: 20
    Simic (GU): 20
    Jund (BRG): 18
    Izzet (UR): 18
    Mardu (RWB): 17
    Sultai (BGU): 17
    Dimir (UB): 12
    Mono Blue: 12
    Orzhov (WB): 12
    Selesnya (GW): 12
    Artifice (WUBR): 9
    Temur (GUR): 9
    Rakdos (BR): 8
    Naya (RGW): 8
    Gruul (RG): 7
    Aggression (WBRG): 6
    Altruism (WURG): 6
    Chaos (UBRG): 5
~~~~~Hatebears~~~~~
    Mono White: 155
    Selesnya (GW): 126
    Abzan (WBG): 125
    Orzhov (WB): 120
    Boros (RW): 107
    Naya (RGW): 98
    Esper (WUB): 93
    Bant (GWU): 73
    Azorius (WU) : 71
    Mardu (RWB): 65
    Five Color (WUBRG): 49
    Aggression (WBRG): 32
    Gruul (RG): 30
    Growth (WUBG): 25
    Jeskai (URW): 25
    Mono Green: 22
    Golgari (BG): 22
    Mono Black: 20
    Jund (BRG): 19
    Artifice (WUBR): 19
    Rakdos (BR): 19
    Dimir (UB): 16
    Mono Red: 15
    Grixis (UBR): 13
    Mono Blue: 12
    Simic (GU): 11
    Sultai (BGU): 10
    Izzet (UR): 8
    Altruism (WURG): 7
    Chaos (UBRG): 7
    Temur (GUR): 7
~~~~~Battlecruiser~~~~~
    Five Color (WUBRG): 207
    Gruul (RG): 153
    Naya (RGW): 136
    Simic (GU): 128
    Mono Green: 125
    Temur (GUR): 101
    Selesnya (GW): 79
    Jund (BRG): 73
    Sultai (BGU): 72
    Mardu (RWB): 68
    Golgari (BG): 68
    Mono Red: 67
    Mono White: 67
    Rakdos (BR): 65
    Azorius (WU) : 62
    Boros (RW): 61
    Bant (GWU): 60
    Dimir (UB): 57
    Mono Blue: 56
    Grixis (UBR): 55
    Mono Black: 52
    Esper (WUB): 49
    Izzet (UR): 44
    Abzan (WBG): 44
    Orzhov (WB): 43
    Jeskai (URW): 25
    Growth (WUBG): 20
    Altruism (WURG): 17
    Chaos (UBRG): 16
    Artifice (WUBR): 14
    Aggression (WBRG): 12
~~~~~Birthing Pod / Pod~~~~~
    Naya (RGW): 102
    Sultai (BGU): 70
    Golgari (BG): 67
    Abzan (WBG): 59
    Aggression (WBRG): 46
    Temur (GUR): 43
    Bant (GWU): 39
    Simic (GU): 38
    Jund (BRG): 36
    Five Color (WUBRG): 35
    Mono White: 33
    Gruul (RG): 23
    Altruism (WURG): 19
    Mono Green: 18
    Selesnya (GW): 17
    Growth (WUBG): 12
    Chaos (UBRG): 11
    Izzet (UR): 8
    Azorius (WU) : 7
    Boros (RW): 7
    Orzhov (WB): 7
    Dimir (UB): 6
    Mono Blue: 6
    Mardu (RWB): 6
    Rakdos (BR): 6
    Jeskai (URW): 6
    Esper (WUB): 6
    Grixis (UBR): 6
    Mono Black: 4
    Artifice (WUBR): 4
    Mono Red: 4
~~~~~Mutate~~~~~
    Sultai (BGU): 123
    Five Color (WUBRG): 71
    Simic (GU): 60
    Abzan (WBG): 38
    Temur (GUR): 35
    Jeskai (URW): 28
    Mardu (RWB): 22
    Golgari (BG): 15
    Altruism (WURG): 10
    Mono Green: 7
    Izzet (UR): 7
    Dimir (UB): 6
    Growth (WUBG): 6
    Chaos (UBRG): 6
    Esper (WUB): 6
    Aggression (WBRG): 5
    Mono Blue: 5
    Rakdos (BR): 5
    Orzhov (WB): 5
    Naya (RGW): 5
    Selesnya (GW): 5
    Jund (BRG): 4
    Mono Black: 4
    Azorius (WU) : 4
    Boros (RW): 4
    Artifice (WUBR): 4
    Grixis (UBR): 4
    Mono White: 4
    Gruul (RG): 4
    Bant (GWU): 4
    Mono Red: 3
~~~~~Suicide~~~~~
    Mono Black: 232
    Rakdos (BR): 110
    Golgari (BG): 57
    Orzhov (WB): 55
    Mono Red: 41
    Grixis (UBR): 28
    Jund (BRG): 27
    Dimir (UB): 24
    Mardu (RWB): 24
    Esper (WUB): 24
    Five Color (WUBRG): 19
    Sultai (BGU): 18
    Abzan (WBG): 14
    Boros (RW): 12
    Izzet (UR): 12
    Mono White: 11
    Gruul (RG): 11
    Aggression (WBRG): 9
    Mono Green: 9
    Bant (GWU): 9
    Mono Blue: 8
    Artifice (WUBR): 8
    Jeskai (URW): 8
    Simic (GU): 8
    Growth (WUBG): 7
    Naya (RGW): 7
    Altruism (WURG): 6
    Chaos (UBRG): 6
    Azorius (WU) : 6
    Temur (GUR): 5
    Selesnya (GW): 5
~~~~~Aikido~~~~~
    Mardu (RWB): 81
    Dimir (UB): 15
    Esper (WUB): 15
    Naya (RGW): 14
    Grixis (UBR): 12
    Orzhov (WB): 12
    Jeskai (URW): 11
    Boros (RW): 10
    Five Color (WUBRG): 10
    Altruism (WURG): 9
    Izzet (UR): 9
    Rakdos (BR): 9
    Jund (BRG): 7
    Mono Red: 7
    Azorius (WU) : 6
    Mono Blue: 6
    Simic (GU): 6
    Temur (GUR): 6
    Abzan (WBG): 6
    Aggression (WBRG): 5
    Mono Green: 5
    Growth (WUBG): 5
    Mono Black: 5
    Artifice (WUBR): 5
    Mono White: 5
    Selesnya (GW): 5
    Sultai (BGU): 5
    Chaos (UBRG): 4
    Golgari (BG): 4
    Gruul (RG): 4
    Bant (GWU): 4
~~~~~Morph~~~~~
    Sultai (BGU): 113
    Temur (GUR): 35
    Mono Green: 21
    Azorius (WU) : 9
    Mono Blue: 9
    Simic (GU): 9
    Izzet (UR): 8
    Jeskai (URW): 8
    Esper (WUB): 8
    Jund (BRG): 6
    Dimir (UB): 6
    Artifice (WUBR): 6
    Five Color (WUBRG): 6
    Grixis (UBR): 6
    Abzan (WBG): 6
    Naya (RGW): 6
    Bant (GWU): 6
    Selesnya (GW): 6
    Aggression (WBRG): 5
    Altruism (WURG): 5
    Growth (WUBG): 5
    Chaos (UBRG): 5
    Boros (RW): 5
    Mono Red: 5
    Rakdos (BR): 5
    Golgari (BG): 5
    Orzhov (WB): 5
    Gruul (RG): 5
    Mono Black: 4
    Mardu (RWB): 4
    Mono White: 4
~~~~~Clones~~~~~
    Simic (GU): 250
    Temur (GUR): 171
    Mono Blue: 160
    Dimir (UB): 141
    Grixis (UBR): 106
    Izzet (UR): 85
    Mono Red: 73
    Sultai (BGU): 52
    Esper (WUB): 46
    Five Color (WUBRG): 37
    Azorius (WU) : 36
    Boros (RW): 19
    Jeskai (URW): 16
    Altruism (WURG): 15
    Chaos (UBRG): 14
    Naya (RGW): 14
    Abzan (WBG): 12
    Bant (GWU): 11
    Growth (WUBG): 10
    Jund (BRG): 9
    Rakdos (BR): 9
    Orzhov (WB): 9
    Aggression (WBRG): 8
    Artifice (WUBR): 8
    Mardu (RWB): 8
    Selesnya (GW): 8
    Golgari (BG): 6
    Gruul (RG): 5
    Mono Green: 4
    Mono Black: 4
    Mono White: 3
~~~~~Vorthos~~~~~
    Five Color (WUBRG): 28
    Dimir (UB): 18
    Grixis (UBR): 18
    Orzhov (WB): 17
    Mono Black: 16
    Azorius (WU) : 14
    Boros (RW): 13
    Simic (GU): 13
    Abzan (WBG): 13
    Naya (RGW): 13
    Mardu (RWB): 12
    Rakdos (BR): 12
    Izzet (UR): 11
    Golgari (BG): 11
    Gruul (RG): 10
    Selesnya (GW): 10
    Mono Green: 9
    Esper (WUB): 9
    Temur (GUR): 9
    Sultai (BGU): 9
    Mono White: 8
    Jund (BRG): 7
    Growth (WUBG): 7
    Mono Red: 7
    Bant (GWU): 7
    Altruism (WURG): 5
    Mono Blue: 5
    Jeskai (URW): 5
    Chaos (UBRG): 4
    Artifice (WUBR): 4
    Aggression (WBRG): 3
~~~~~Mill~~~~~
    Dimir (UB): 815
    Sultai (BGU): 213
    Mono Blue: 201
    Simic (GU): 129
    Golgari (BG): 124
    Mono Black: 104
    Grixis (UBR): 102
    Abzan (WBG): 74
    Esper (WUB): 62
    Azorius (WU) : 57
    Five Color (WUBRG): 33
    Izzet (UR): 32
    Jund (BRG): 22
    Bant (GWU): 22
    Mono Green: 19
    Rakdos (BR): 19
    Jeskai (URW): 19
    Orzhov (WB): 19
    Mono White: 17
    Mono Red: 16
    Temur (GUR): 16
    Boros (RW): 14
    Altruism (WURG): 13
    Mardu (RWB): 13
    Selesnya (GW): 13
    Chaos (UBRG): 12
    Growth (WUBG): 11
    Aggression (WBRG): 8
    Artifice (WUBR): 8
    Naya (RGW): 6
    Gruul (RG): 6
~~~~~Rock~~~~~
    Golgari (BG): 43
    Boros (RW): 25
    Gruul (RG): 21
    Rakdos (BR): 19
    Izzet (UR): 18
    Dimir (UB): 17
    Mono Red: 17
    Temur (GUR): 17
    Esper (WUB): 16
    Abzan (WBG): 15
    Mono Blue: 14
    Jund (BRG): 13
    Azorius (WU) : 12
    Orzhov (WB): 11
    Mono Green: 10
    Mono Black: 10
    Mardu (RWB): 9
    Five Color (WUBRG): 9
    Simic (GU): 9
    Selesnya (GW): 9
    Sultai (BGU): 9
    Growth (WUBG): 8
    Artifice (WUBR): 8
    Jeskai (URW): 8
    Grixis (UBR): 8
    Mono White: 8
    Altruism (WURG): 7
    Chaos (UBRG): 7
    Naya (RGW): 7
    Bant (GWU): 6
    Aggression (WBRG): 4
~~~~~Affinity~~~~~
    Esper (WUB): 48
    Izzet (UR): 47
    Mono Blue: 44
    Azorius (WU) : 40
    Artifice (WUBR): 39
    Boros (RW): 30
    Dimir (UB): 18
    Mono White: 18
    Simic (GU): 15
    Mono Black: 11
    Mono Red: 11
    Gruul (RG): 11
    Rakdos (BR): 10
    Grixis (UBR): 10
    Mardu (RWB): 9
    Five Color (WUBRG): 9
    Jeskai (URW): 9
    Golgari (BG): 7
    Aggression (WBRG): 6
    Altruism (WURG): 6
    Temur (GUR): 6
    Jund (BRG): 5
    Growth (WUBG): 5
    Orzhov (WB): 5
    Naya (RGW): 5
    Selesnya (GW): 5
    Sultai (BGU): 5
    Mono Green: 4
    Chaos (UBRG): 4
    Abzan (WBG): 4
    Bant (GWU): 4
~~~~~Blue Moon~~~~~
    Izzet (UR): 33
    Mono Blue: 16
    Jeskai (URW): 10
    Five Color (WUBRG): 8
    Altruism (WURG): 6
    Esper (WUB): 6
    Grixis (UBR): 6
    Azorius (WU) : 5
    Temur (GUR): 5
    Aggression (WBRG): 4
    Jund (BRG): 4
    Dimir (UB): 4
    Mono Green: 4
    Growth (WUBG): 4
    Mono Black: 4
    Chaos (UBRG): 4
    Boros (RW): 4
    Artifice (WUBR): 4
    Mardu (RWB): 4
    Rakdos (BR): 4
    Simic (GU): 4
    Golgari (BG): 4
    Orzhov (WB): 4
    Mono White: 4
    Abzan (WBG): 4
    Naya (RGW): 4
    Gruul (RG): 4
    Bant (GWU): 4
    Selesnya (GW): 4
    Sultai (BGU): 4
    Mono Red: 3
~~~~~Chaos~~~~~
    Rakdos (BR): 151
    Izzet (UR): 141
    Mono Red: 100
    Grixis (UBR): 72
    Temur (GUR): 67
    Five Color (WUBRG): 64
    Jund (BRG): 43
    Jeskai (URW): 41
    Gruul (RG): 36
    Mardu (RWB): 25
    Chaos (UBRG): 24
    Mono Black: 23
    Naya (RGW): 19
    Azorius (WU) : 18
    Mono Blue: 17
    Dimir (UB): 15
    Esper (WUB): 14
    Altruism (WURG): 12
    Boros (RW): 12
    Golgari (BG): 12
    Aggression (WBRG): 9
    Simic (GU): 9
    Bant (GWU): 9
    Sultai (BGU): 9
    Artifice (WUBR): 8
    Growth (WUBG): 7
    Orzhov (WB): 7
    Selesnya (GW): 7
    Mono Green: 6
    Abzan (WBG): 6
    Mono White: 5
~~~~~Cycling~~~~~
    Jeskai (URW): 100
    Esper (WUB): 69
    Rakdos (BR): 31
    Five Color (WUBRG): 26
    Dimir (UB): 25
    Jund (BRG): 14
    Mono Black: 14
    Grixis (UBR): 14
    Boros (RW): 13
    Izzet (UR): 13
    Simic (GU): 13
    Mono Green: 11
    Mono Blue: 11
    Mono Red: 11
    Altruism (WURG): 10
    Sultai (BGU): 10
    Golgari (BG): 9
    Orzhov (WB): 9
    Naya (RGW): 9
    Gruul (RG): 9
    Growth (WUBG): 8
    Azorius (WU) : 8
    Mardu (RWB): 8
    Mono White: 8
    Selesnya (GW): 7
    Chaos (UBRG): 6
    Artifice (WUBR): 6
    Temur (GUR): 6
    Abzan (WBG): 6
    Aggression (WBRG): 5
    Bant (GWU): 4
~~~~~Death & Taxes~~~~~
    Orzhov (WB): 195
    Esper (WUB): 68
    Mono White: 62
    Mardu (RWB): 54
    Mono Black: 47
    Abzan (WBG): 45
    Golgari (BG): 34
    Azorius (WU) : 32
    Selesnya (GW): 27
    Boros (RW): 25
    Rakdos (BR): 24
    Dimir (UB): 22
    Five Color (WUBRG): 21
    Grixis (UBR): 16
    Bant (GWU): 14
    Jund (BRG): 13
    Naya (RGW): 13
    Jeskai (URW): 12
    Sultai (BGU): 12
    Growth (WUBG): 10
    Aggression (WBRG): 9
    Mono Red: 9
    Altruism (WURG): 8
    Artifice (WUBR): 8
    Gruul (RG): 8
    Mono Green: 7
    Mono Blue: 7
    Chaos (UBRG): 6
    Izzet (UR): 6
    Simic (GU): 6
    Temur (GUR): 5
~~~~~Defender~~~~~
    Bant (GWU): 165
    Abzan (WBG): 24
    Dimir (UB): 14
    Jeskai (URW): 13
    Mono Blue: 11
    Selesnya (GW): 9
    Azorius (WU) : 7
    Boros (RW): 6
    Five Color (WUBRG): 6
    Mono White: 6
    Altruism (WURG): 5
    Esper (WUB): 5
    Simic (GU): 5
    Naya (RGW): 5
    Mono Green: 4
    Growth (WUBG): 4
    Mono Black: 4
    Chaos (UBRG): 4
    Izzet (UR): 4
    Grixis (UBR): 4
    Golgari (BG): 4
    Orzhov (WB): 4
    Sultai (BGU): 4
    Aggression (WBRG): 3
    Jund (BRG): 3
    Artifice (WUBR): 3
    Mono Red: 3
    Mardu (RWB): 3
    Rakdos (BR): 3
    Temur (GUR): 3
    Gruul (RG): 3
~~~~~Delver~~~~~
    Dimir (UB): 18
    Sultai (BGU): 15
    Izzet (UR): 11
    Esper (WUB): 11
    Golgari (BG): 10
    Jeskai (URW): 9
    Grixis (UBR): 8
    Mono Black: 6
    Temur (GUR): 6
    Jund (BRG): 5
    Azorius (WU) : 5
    Boros (RW): 5
    Mono Blue: 5
    Five Color (WUBRG): 5
    Rakdos (BR): 5
    Simic (GU): 5
    Abzan (WBG): 5
    Aggression (WBRG): 4
    Altruism (WURG): 4
    Growth (WUBG): 4
    Chaos (UBRG): 4
    Artifice (WUBR): 4
    Mono Red: 4
    Mardu (RWB): 4
    Orzhov (WB): 4
    Naya (RGW): 4
    Gruul (RG): 4
    Bant (GWU): 4
    Selesnya (GW): 4
    Mono Green: 3
    Mono White: 3
~~~~~Eggs~~~~~
    Naya (RGW): 111
    Boros (RW): 23
    Mono White: 20
    Izzet (UR): 19
    Artifice (WUBR): 17
    Mono Blue: 15
    Rakdos (BR): 15
    Golgari (BG): 15
    Azorius (WU) : 14
    Five Color (WUBRG): 13
    Jund (BRG): 11
    Mardu (RWB): 10
    Esper (WUB): 10
    Gruul (RG): 10
    Dimir (UB): 9
    Orzhov (WB): 9
    Jeskai (URW): 7
    Bant (GWU): 7
    Mono Green: 6
    Chaos (UBRG): 6
    Mono Red: 6
    Grixis (UBR): 6
    Aggression (WBRG): 5
    Altruism (WURG): 5
    Mono Black: 5
    Abzan (WBG): 5
    Selesnya (GW): 5
    Growth (WUBG): 4
    Simic (GU): 4
    Temur (GUR): 4
    Sultai (BGU): 4
~~~~~Formula X-1~~~~~
    Sultai (BGU): 19
    Gruul (RG): 15
    Naya (RGW): 12
    Jund (BRG): 11
    Mono Green: 11
    Rakdos (BR): 11
    Jeskai (URW): 11
    Esper (WUB): 11
    Dimir (UB): 10
    Mono Black: 10
    Izzet (UR): 10
    Five Color (WUBRG): 10
    Temur (GUR): 10
    Orzhov (WB): 10
    Boros (RW): 9
    Grixis (UBR): 9
    Selesnya (GW): 9
    Altruism (WURG): 8
    Golgari (BG): 8
    Abzan (WBG): 8
    Simic (GU): 7
    Mono White: 7
    Aggression (WBRG): 6
    Azorius (WU) : 6
    Mono Red: 6
    Mardu (RWB): 6
    Bant (GWU): 6
    Growth (WUBG): 5
    Chaos (UBRG): 5
    Mono Blue: 5
    Artifice (WUBR): 5
~~~~~Group Slug~~~~~
    Rakdos (BR): 230
    Mono Red: 128
    Mono Black: 109
    Grixis (UBR): 108
    Jund (BRG): 96
    Mardu (RWB): 77
    Dimir (UB): 72
    Gruul (RG): 65
    Golgari (BG): 62
    Orzhov (WB): 61
    Five Color (WUBRG): 35
    Izzet (UR): 34
    Esper (WUB): 32
    Naya (RGW): 30
    Boros (RW): 28
    Jeskai (URW): 26
    Temur (GUR): 19
    Azorius (WU) : 16
    Altruism (WURG): 14
    Sultai (BGU): 14
    Aggression (WBRG): 13
    Mono White: 13
    Abzan (WBG): 12
    Mono Blue: 11
    Bant (GWU): 11
    Chaos (UBRG): 9
    Mono Green: 8
    Growth (WUBG): 8
    Artifice (WUBR): 7
    Simic (GU): 7
    Selesnya (GW): 7
~~~~~Historic~~~~~
    Five Color (WUBRG): 61
    Mardu (RWB): 33
    Azorius (WU) : 30
    Izzet (UR): 29
    Boros (RW): 25
    Abzan (WBG): 21
    Esper (WUB): 19
    Mono White: 18
    Mono Green: 17
    Orzhov (WB): 15
    Selesnya (GW): 14
    Mono Blue: 13
    Artifice (WUBR): 12
    Dimir (UB): 10
    Mono Red: 9
    Altruism (WURG): 8
    Golgari (BG): 8
    Bant (GWU): 8
    Growth (WUBG): 7
    Jeskai (URW): 7
    Gruul (RG): 7
    Sultai (BGU): 7
    Aggression (WBRG): 6
    Simic (GU): 6
    Jund (BRG): 5
    Mono Black: 5
    Grixis (UBR): 5
    Temur (GUR): 5
    Naya (RGW): 5
    Chaos (UBRG): 4
    Rakdos (BR): 4
~~~~~Land Destruction~~~~~
    Jund (BRG): 79
    Gruul (RG): 56
    Mono Red: 54
    Mono Green: 38
    Five Color (WUBRG): 36
    Boros (RW): 32
    Mardu (RWB): 32
    Mono White: 32
    Naya (RGW): 32
    Golgari (BG): 24
    Jeskai (URW): 22
    Izzet (UR): 20
    Rakdos (BR): 20
    Azorius (WU) : 19
    Esper (WUB): 17
    Selesnya (GW): 17
    Dimir (UB): 15
    Mono Black: 14
    Grixis (UBR): 14
    Sultai (BGU): 14
    Altruism (WURG): 12
    Bant (GWU): 12
    Simic (GU): 11
    Abzan (WBG): 11
    Aggression (WBRG): 9
    Temur (GUR): 8
    Orzhov (WB): 8
    Artifice (WUBR): 7
    Mono Blue: 6
    Growth (WUBG): 5
    Chaos (UBRG): 5
~~~~~Maverick~~~~~
    Abzan (WBG): 10
    Naya (RGW): 10
    Growth (WUBG): 9
    Bant (GWU): 9
    Altruism (WURG): 7
    Mono Green: 7
    Mardu (RWB): 7
    Izzet (UR): 7
    Five Color (WUBRG): 7
    Esper (WUB): 7
    Dimir (UB): 6
    Rakdos (BR): 6
    Golgari (BG): 6
    Orzhov (WB): 6
    Mono White: 6
    Gruul (RG): 6
    Selesnya (GW): 6
    Sultai (BGU): 6
    Chaos (UBRG): 5
    Azorius (WU) : 5
    Mono Blue: 5
    Jeskai (URW): 5
    Simic (GU): 5
    Aggression (WBRG): 4
    Jund (BRG): 4
    Mono Black: 4
    Boros (RW): 4
    Artifice (WUBR): 4
    Grixis (UBR): 4
    Temur (GUR): 4
    Mono Red: 3
~~~~~Miracles~~~~~
    Esper (WUB): 18
    Mono Blue: 13
    Azorius (WU) : 11
    Izzet (UR): 9
    Five Color (WUBRG): 8
    Mono Red: 7
    Grixis (UBR): 7
    Selesnya (GW): 7
    Dimir (UB): 6
    Rakdos (BR): 6
    Jeskai (URW): 6
    Simic (GU): 6
    Temur (GUR): 6
    Naya (RGW): 6
    Altruism (WURG): 5
    Growth (WUBG): 5
    Mono Black: 5
    Mardu (RWB): 5
    Golgari (BG): 5
    Orzhov (WB): 5
    Mono White: 5
    Bant (GWU): 5
    Aggression (WBRG): 4
    Jund (BRG): 4
    Mono Green: 4
    Chaos (UBRG): 4
    Boros (RW): 4
    Artifice (WUBR): 4
    Abzan (WBG): 4
    Gruul (RG): 4
    Sultai (BGU): 4
~~~~~Modified~~~~~
    Gruul (RG): 78
    Bant (GWU): 52
    Mono Green: 44
    Selesnya (GW): 31
    Boros (RW): 28
    Abzan (WBG): 23
    Golgari (BG): 21
    Mardu (RWB): 20
    Growth (WUBG): 16
    Azorius (WU) : 16
    Naya (RGW): 14
    Mono Red: 13
    Simic (GU): 13
    Orzhov (WB): 13
    Mono White: 13
    Grixis (UBR): 12
    Dimir (UB): 9
    Mono Blue: 9
    Rakdos (BR): 9
    Esper (WUB): 9
    Temur (GUR): 9
    Sultai (BGU): 8
    Jund (BRG): 7
    Altruism (WURG): 6
    Mono Black: 6
    Five Color (WUBRG): 6
    Jeskai (URW): 6
    Aggression (WBRG): 5
    Artifice (WUBR): 5
    Izzet (UR): 4
    Chaos (UBRG): 3
~~~~~Snow~~~~~
    Sultai (BGU): 87
    Dimir (UB): 38
    Mono Black: 34
    Mono Blue: 26
    Simic (GU): 26
    Mono White: 26
    Mono Red: 24
    Gruul (RG): 21
    Mono Green: 18
    Five Color (WUBRG): 16
    Rakdos (BR): 15
    Esper (WUB): 14
    Selesnya (GW): 12
    Boros (RW): 11
    Bant (GWU): 9
    Jund (BRG): 8
    Azorius (WU) : 8
    Izzet (UR): 8
    Grixis (UBR): 8
    Orzhov (WB): 8
    Golgari (BG): 7
    Naya (RGW): 7
    Altruism (WURG): 6
    Jeskai (URW): 6
    Temur (GUR): 6
    Growth (WUBG): 5
    Mardu (RWB): 5
    Abzan (WBG): 5
    Aggression (WBRG): 4
    Chaos (UBRG): 4
    Artifice (WUBR): 4
~~~~~Stoneblade~~~~~
    Mono White: 27
    Boros (RW): 20
    Bant (GWU): 17
    Mardu (RWB): 14
    Azorius (WU) : 13
    Jeskai (URW): 12
    Naya (RGW): 11
    Selesnya (GW): 10
    Esper (WUB): 8
    Orzhov (WB): 8
    Simic (GU): 7
    Altruism (WURG): 5
    Growth (WUBG): 5
    Five Color (WUBRG): 5
    Golgari (BG): 5
    Aggression (WBRG): 4
    Jund (BRG): 4
    Dimir (UB): 4
    Mono Green: 4
    Mono Black: 4
    Chaos (UBRG): 4
    Mono Blue: 4
    Artifice (WUBR): 4
    Mono Red: 4
    Izzet (UR): 4
    Rakdos (BR): 4
    Grixis (UBR): 4
    Temur (GUR): 4
    Abzan (WBG): 4
    Gruul (RG): 4
    Sultai (BGU): 4
~~~~~Tron~~~~~
    Boros (RW): 14
    Mono Blue: 13
    Naya (RGW): 12
    Mono Red: 9
    Five Color (WUBRG): 9
    Mono White: 9
    Mono Green: 8
    Grixis (UBR): 8
    Golgari (BG): 8
    Abzan (WBG): 8
    Izzet (UR): 7
    Rakdos (BR): 7
    Esper (WUB): 7
    Bant (GWU): 7
    Dimir (UB): 6
    Artifice (WUBR): 6
    Jeskai (URW): 6
    Simic (GU): 6
    Gruul (RG): 6
    Selesnya (GW): 6
    Aggression (WBRG): 5
    Mono Black: 5
    Chaos (UBRG): 5
    Azorius (WU) : 5
    Mardu (RWB): 5
    Temur (GUR): 5
    Orzhov (WB): 5
    Sultai (BGU): 5
    Altruism (WURG): 4
    Jund (BRG): 4
    Growth (WUBG): 4
~~~~~Vehicles~~~~~
    Azorius (WU) : 232
    Orzhov (WB): 72
    Boros (RW): 60
    Esper (WUB): 41
    Jeskai (URW): 39
    Artifice (WUBR): 28
    Mono Black: 22
    Mono Red: 20
    Mono Blue: 19
    Mono Green: 11
    Mono White: 11
    Sultai (BGU): 9
    Selesnya (GW): 8
    Izzet (UR): 7
    Altruism (WURG): 6
    Dimir (UB): 6
    Mardu (RWB): 6
    Grixis (UBR): 6
    Bant (GWU): 6
    Jund (BRG): 5
    Growth (WUBG): 5
    Rakdos (BR): 5
    Abzan (WBG): 5
    Naya (RGW): 5
    Aggression (WBRG): 4
    Chaos (UBRG): 4
    Five Color (WUBRG): 4
    Simic (GU): 4
    Golgari (BG): 4
    Temur (GUR): 4
    Gruul (RG): 4
~~~~~Zoo~~~~~
    Naya (RGW): 109
    Gruul (RG): 61
    Simic (GU): 59
    Mono Green: 47
    Five Color (WUBRG): 30
    Golgari (BG): 26
    Temur (GUR): 23
    Selesnya (GW): 23
    Bant (GWU): 19
    Mardu (RWB): 16
    Sultai (BGU): 16
    Esper (WUB): 13
    Mono Blue: 12
    Mono Red: 12
    Aggression (WBRG): 11
    Dimir (UB): 11
    Boros (RW): 11
    Mono White: 11
    Mono Black: 10
    Orzhov (WB): 10
